"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"2";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1, C2";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"1";"DRV8837C 1A";"DRV883X_H-BRIDGE_DRV8837C_1A";"WSON-8-PPAD";"U1";"DRV883x Series H-Bridge - DRV8837 -> PWM (IN1 & IN2); DRV8838 -> PH IN1/ENA";"http://www.ti.com/lit/ds/symlink/drv8837c.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=296-44747-1-ND";"296-44747-1-ND";"Texas Instruments";"DRV8837CDSGT";"DRV8837C 1A";
"2";"PTH VERT MALE";"1X04_PTH_VERT_MALE_2.54MM";"HDRV4W64P254_1X4_1016X254X838B";"J1, J2";"";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=PEC04SAAN";"S1012E-04-ND";"Sullins Connector Solutions";"PEC04SAAN";"PTH VERT MALE";
